UNIX time;Local time;genericSensor1
1618140908;2021-04-11T14:35:08.000;-0.742
1618140909;2021-04-11T14:35:09.000;-0.742
1618140910;2021-04-11T14:35:10.000;-0.742
1618140911;2021-04-11T14:35:11.000;-0.742
1618140912;2021-04-11T14:35:12.000;-0.742
1618140913;2021-04-11T14:35:13.000;-0.742
1618140914;2021-04-11T14:35:14.000;-0.742
1618140915;2021-04-11T14:35:15.000;-0.742
1618140916;2021-04-11T14:35:16.000;-0.664
1618140917;2021-04-11T14:35:17.000;-0.742
1618140918;2021-04-11T14:35:18.000;-0.742
1618140919;2021-04-11T14:35:19.000;-0.742
1618140920;2021-04-11T14:35:20.000;-0.742
1618140921;2021-04-11T14:35:21.000;-0.742
1618140922;2021-04-11T14:35:22.000;-0.742
1618140923;2021-04-11T14:35:23.000;-0.742
1618140924;2021-04-11T14:35:24.000;-0.742
1618140925;2021-04-11T14:35:25.000;-0.742
1618140926;2021-04-11T14:35:26.000;-0.742
1618140927;2021-04-11T14:35:27.000;-0.742
1618140928;2021-04-11T14:35:28.000;-0.742
1618140929;2021-04-11T14:35:29.000;-0.742
1618140930;2021-04-11T14:35:30.000;-0.742
1618140931;2021-04-11T14:35:31.000;-0.742
1618140932;2021-04-11T14:35:32.000;-0.742
1618140933;2021-04-11T14:35:33.000;-0.742
1618140934;2021-04-11T14:35:34.000;-0.742
1618140935;2021-04-11T14:35:35.000;-0.742
1618140936;2021-04-11T14:35:36.000;-0.742
1618140937;2021-04-11T14:35:37.000;-0.742
1618140938;2021-04-11T14:35:38.000;-0.742
1618140939;2021-04-11T14:35:39.000;-0.742
1618140940;2021-04-11T14:35:40.000;-0.742
1618140941;2021-04-11T14:35:41.000;-0.742
1618140942;2021-04-11T14:35:42.000;-0.742
1618140943;2021-04-11T14:35:43.000;-0.742
1618140944;2021-04-11T14:35:44.000;-0.742
1618140945;2021-04-11T14:35:45.000;-0.742
1618140946;2021-04-11T14:35:46.000;-0.742
1618140947;2021-04-11T14:35:47.000;-0.742
1618140948;2021-04-11T14:35:48.000;-0.742
1618140949;2021-04-11T14:35:49.000;-0.742
1618140950;2021-04-11T14:35:50.000;-0.742
1618140951;2021-04-11T14:35:51.000;-0.742
1618140952;2021-04-11T14:35:52.000;-0.742
1618140953;2021-04-11T14:35:53.000;-0.742
1618140954;2021-04-11T14:35:54.000;-0.742
1618140955;2021-04-11T14:35:55.000;-0.742
1618140956;2021-04-11T14:35:56.000;-0.742
1618140957;2021-04-11T14:35:57.000;-0.742
1618140958;2021-04-11T14:35:58.000;-0.742
1618140959;2021-04-11T14:35:59.000;-0.742
1618140960;2021-04-11T14:36:00.000;-0.742
1618140961;2021-04-11T14:36:01.000;-0.742
1618140962;2021-04-11T14:36:02.000;-0.742
1618140963;2021-04-11T14:36:03.000;-0.742
1618140964;2021-04-11T14:36:04.000;-0.742
1618140965;2021-04-11T14:36:05.000;-0.742
1618140966;2021-04-11T14:36:06.000;-0.742
1618140967;2021-04-11T14:36:07.000;-0.742
1618140968;2021-04-11T14:36:08.000;-0.742
1618140969;2021-04-11T14:36:09.000;-0.742
1618140970;2021-04-11T14:36:10.000;-0.742
1618140971;2021-04-11T14:36:11.000;-0.742
1618140972;2021-04-11T14:36:12.000;-0.742
1618140973;2021-04-11T14:36:13.000;-0.742
1618140974;2021-04-11T14:36:14.000;-0.742
1618140975;2021-04-11T14:36:15.000;-0.742
1618140976;2021-04-11T14:36:16.000;-0.742
1618140977;2021-04-11T14:36:17.000;-0.742
1618140978;2021-04-11T14:36:18.000;-0.742
1618140979;2021-04-11T14:36:19.000;-0.742
1618140980;2021-04-11T14:36:20.000;-0.664
1618140981;2021-04-11T14:36:21.000;-0.82
1618140982;2021-04-11T14:36:22.000;-0.742
1618140983;2021-04-11T14:36:23.000;-0.742
1618140984;2021-04-11T14:36:24.000;-0.742
1618140985;2021-04-11T14:36:25.000;-0.742
1618140986;2021-04-11T14:36:26.000;-0.742
1618140987;2021-04-11T14:36:27.000;-0.664
1618140988;2021-04-11T14:36:28.000;-0.742
1618140989;2021-04-11T14:36:29.000;-0.742
1618140990;2021-04-11T14:36:30.000;-0.742
1618140991;2021-04-11T14:36:31.000;-0.742
1618140992;2021-04-11T14:36:32.000;-0.742
1618140993;2021-04-11T14:36:33.000;-0.742
1618140994;2021-04-11T14:36:34.000;-0.742
1618140995;2021-04-11T14:36:35.000;-0.742
1618140996;2021-04-11T14:36:36.000;-0.742
1618140997;2021-04-11T14:36:37.000;-0.742
1618140998;2021-04-11T14:36:38.000;-0.742
1618140999;2021-04-11T14:36:39.000;-0.742
1618141000;2021-04-11T14:36:40.000;-0.742
1618141001;2021-04-11T14:36:41.000;-0.742
1618141002;2021-04-11T14:36:42.000;-0.742
1618141003;2021-04-11T14:36:43.000;-0.742
1618141004;2021-04-11T14:36:44.000;-0.742
1618141005;2021-04-11T14:36:45.000;-0.742
1618141006;2021-04-11T14:36:46.000;-0.742
1618141007;2021-04-11T14:36:47.000;-0.742
1618141008;2021-04-11T14:36:48.000;-0.742
1618141009;2021-04-11T14:36:49.000;-0.742
1618141010;2021-04-11T14:36:50.000;-0.742
1618141011;2021-04-11T14:36:51.000;-0.742
1618141012;2021-04-11T14:36:52.000;-0.742
1618141013;2021-04-11T14:36:53.000;-0.742
1618141014;2021-04-11T14:36:54.000;-0.664
1618141015;2021-04-11T14:36:55.000;-0.742
1618141016;2021-04-11T14:36:56.000;-0.742
1618141017;2021-04-11T14:36:57.000;-0.742
1618141018;2021-04-11T14:36:58.000;-0.664
1618141019;2021-04-11T14:36:59.000;-0.742
1618141020;2021-04-11T14:37:00.000;-0.742
1618141021;2021-04-11T14:37:01.000;-0.742
1618141022;2021-04-11T14:37:02.000;-0.742
1618141023;2021-04-11T14:37:03.000;-0.742
1618141024;2021-04-11T14:37:04.000;-0.742
1618141025;2021-04-11T14:37:05.000;-0.742
1618141026;2021-04-11T14:37:06.000;-0.664
1618141027;2021-04-11T14:37:07.000;-0.742
1618141028;2021-04-11T14:37:08.000;-0.742
1618141029;2021-04-11T14:37:09.000;-0.742
1618141030;2021-04-11T14:37:10.000;-0.742
1618141031;2021-04-11T14:37:11.000;-0.742
1618141032;2021-04-11T14:37:12.000;-0.742
1618141033;2021-04-11T14:37:13.000;-0.742
1618141034;2021-04-11T14:37:14.000;-0.82
1618141035;2021-04-11T14:37:15.000;-0.742
1618141036;2021-04-11T14:37:16.000;-0.742
1618141037;2021-04-11T14:37:17.000;-0.742
1618141038;2021-04-11T14:37:18.000;-0.742
1618141039;2021-04-11T14:37:19.000;-0.742
1618141040;2021-04-11T14:37:20.000;-0.742
1618141041;2021-04-11T14:37:21.000;-0.742
1618141042;2021-04-11T14:37:22.000;-0.742
1618141043;2021-04-11T14:37:23.000;-0.742
1618141044;2021-04-11T14:37:24.000;-0.742
1618141045;2021-04-11T14:37:25.000;-0.742
1618141046;2021-04-11T14:37:26.000;-0.742
1618141047;2021-04-11T14:37:27.000;-0.742
1618141048;2021-04-11T14:37:28.000;-0.742
