UNIX time;Local time;spectralChannel1 min;spectralChannel1 avg;spectralChannel1 max;spectralChannel2 min;spectralChannel2 avg;spectralChannel2 max;spectralChannel3 min;spectralChannel3 avg;spectralChannel3 max;spectralChannel4 min;spectralChannel4 avg;spectralChannel4 max;spectralChannel5 min;spectralChannel5 avg;spectralChannel5 max;spectralChannel6 min;spectralChannel6 avg;spectralChannel6 max;spectralChannel7 min;spectralChannel7 avg;spectralChannel7 max;spectralChannel8 min;spectralChannel8 avg;spectralChannel8 max;spectralChannel9 min;spectralChannel9 avg;spectralChannel9 max;spectralChannel10 min;spectralChannel10 avg;spectralChannel10 max;spectralChannel11 min;spectralChannel11 avg;spectralChannel11 max;spectralChannel12 min;spectralChannel12 avg;spectralChannel12 max;spectralChannel13 min;spectralChannel13 avg;spectralChannel13 max
1755162282;2025-08-14T12:04:42.000;1374.0182904068681;1374.0182904068681;1374.0182904068681;1517.0055970149253;1517.0055970149253;1517.0055970149253;3075.6897685264175;3075.6897685264175;3075.6897685264175;2814.089066465464;2814.089066465464;2814.089066465464;3671.2532988099388;3671.2532988099388;3671.2532988099388;5390.058492899165;5392.786244238769;5395.513995578372;1393.608782151485;1393.608782151485;1393.608782151485;5017.081307427258;5017.081307427258;5017.081307427258;5087.512768130746;5087.512768130746;5087.512768130746;6160.293036565978;6160.293036565978;6160.293036565978;3265.76;3265.76;3265.76;2476.5560000000005;2479.303;2482.0499999999993;8853.629041038526;8853.629041038526;8853.629041038526
1755162342;2025-08-14T12:05:42.000;1374.0182904068681;1378.639417693169;1379.1452034341173;1517.0055970149253;1521.9235074626865;1522.1305970149253;3075.6897685264175;3082.723517033498;3086.8133765569014;2814.089066465464;2818.10717470334;2825.0175252074905;3665.7820046805755;3675.252701289648;3682.195887068665;5395.513995578372;5405.4220781653985;5417.336006295201;1393.608782151485;1396.1085689924685;1399.0738951257638;5017.081307427258;5024.479039050536;5035.61724732006;5087.512768130746;5096.029749744637;5108.557201225741;6143.522798092209;6161.219968203497;6177.063275039746;3254.772;3265.514;3276.748;2460.0740000000005;2487.1990000000005;2515.013999999999;8850.388635887772;8864.591394472362;8881.170273241205
1755162402;2025-08-14T12:06:42.000;1374.0182904068681;1383.0421799178798;1389.3990294886153;1522.1305970149253;1526.5858208955224;1537.5055970149253;3081.2515725416597;3092.390365694136;3109.0605926178696;2814.089066465464;2826.173228616503;2841.4102133205297;3671.2532988099388;3685.6983518398647;3704.0810635861176;5400.969498257579;5418.4759620789155;5444.6135196912355;1393.608782151485;1400.075600397897;1404.5390081000426;5017.081307427258;5034.7850306278715;5060.331833843798;5087.512768130746;5105.331013789581;5124.340526046986;6149.112877583466;6169.024101748807;6193.833513513514;3254.772;3264.946;3276.748;2460.0740000000005;2482.161;2509.5200000000004;8848.76887562814;8881.12869556114;8920.051596524287
1755162462;2025-08-14T12:07:42.000;1384.272116461366;1389.4960806270997;1394.5259425158642;1532.3805970149253;1535.7369402985073;1537.5055970149253;3103.498788602628;3109.075777739862;3114.6223966331117;2830.481754578503;2840.419610398518;2846.8744426915428;3698.6097694567543;3703.5920928148184;3709.552357715481;5433.702514332822;5443.248154532169;5450.069022370442;1404.5390081000426;1406.425039079153;1410.0041210743216;5047.974540581929;5056.794912901991;5066.510480474732;5119.079417773238;5126.875319203268;5134.862742594484;6182.653354531002;6193.712432432432;6205.013672496025;3271.254;3275.767;3282.242;2493.0380000000005;2512.4269999999997;2536.991;8910.331265703517;8921.82970582077;8934.632092755442
1755162522;2025-08-14T12:08:42.000;1389.3990294886153;1393.3594624860023;1394.5259425158642;1532.3805970149253;1537.0848880597016;1537.5055970149253;3109.0605926178696;3113.2901552636067;3120.184200648354;2841.4102133205297;2844.367103367858;2846.8744426915428;3704.0810635861176;3708.057561121346;3715.0236518448437;5439.158017012029;5450.120657998276;5455.525518042493;1404.5390081000426;1409.5704135284923;1410.0041210743216;5054.1531872128635;5063.234470712098;5072.689127105666;5124.340526046986;5133.481869254341;5140.123850868233;6193.833513513514;6204.388934817171;6216.1938314785375;3276.748;3281.761;3287.736;2509.5200000000004;2532.745999999999;2547.977999999999;8923.292001675041;8934.067697864322;8942.732663316583
1755162582;2025-08-14T12:09:42.000;1389.3990294886153;1392.473870847331;1394.5259425158642;1532.3805970149253;1536.7611940298507;1537.5055970149253;3103.498788602628;3111.769618381391;3114.6223966331117;2835.945983949516;2843.22631867755;2846.8744426915428;3698.6097694567543;3706.5010207638297;3715.0236518448437;5433.702514332822;5447.574624348934;5455.525518042493;1404.5390081000426;1408.5358817677989;1410.0041210743216;5047.974540581929;5061.354110834609;5072.689127105666;5119.079417773238;5131.443117977528;5140.123850868233;6188.243434022257;6203.140476947536;6216.1938314785375;3271.254;3281.489;3287.736;2515.013999999999;2533.4570000000003;2547.977999999999;8908.711505443885;8930.411515912898;8945.972183835845
1755162642;2025-08-14T12:10:42.000;1389.3990294886153;1395.183837252706;1399.652855543113;1537.5055970149253;1541.3563432835822;1542.6305970149253;3103.498788602628;3120.019188989365;3125.7460046635956;2841.4102133205297;2850.522566705535;2857.8038960148156;3704.0810635861176;3715.045560922173;3720.494945974207;5439.158017012029;5460.1478997264585;5471.892026080114;1404.5390081000426;1410.2030694898394;1415.4692340486004;5060.331833843798;5073.023138399694;5078.867773736601;5124.340526046986;5142.469994892747;5150.646067415731;6199.42359300477;6215.046104928459;6227.373990461049;3276.748;3286.689;3293.23;2520.508;2547.2880000000005;2564.459999999999;8923.292001675041;8949.47090138191;8963.793085217756
1755162702;2025-08-14T12:11:42.000;1394.5259425158642;1399.2581187010078;1399.652855543113;1542.6305970149253;1542.7136194029852;1547.7555970149253;3114.6223966331117;3125.144673832679;3131.3078086788373;2846.8744426915428;2854.7545099115164;2857.8038960148156;3715.0236518448437;3720.7837474480903;3725.9662401035703;5455.525518042493;5468.184190804512;5477.347528759321;1410.0041210743216;1413.5265027710673;1415.4692340486004;5066.510480474732;5079.660628828484;5091.22619161562;5134.862742594484;5147.830694586312;5161.1682839632285;6193.833513513514;6219.147599364071;6238.554149443561;3276.748;3286.801;3298.724;2515.013999999999;2547.1910000000007;2575.4480000000003;8939.492258165828;8961.1577680067;8981.613986599665
1755162762;2025-08-14T12:12:42.000;1389.3990294886153;1394.7900335946247;1399.652855543113;1532.3805970149253;1538.2751865671642;1542.6305970149253;3103.498788602628;3113.9451401922315;3125.7460046635956;2835.945983949516;2843.6947664448867;2852.339666643803;3698.6097694567543;3706.56873973012;3715.0236518448437;5439.158017012029;5447.094015812942;5466.436523400907;1399.0738951257638;1407.371038794941;1410.0041210743216;5047.974540581929;5060.1901320826955;5072.689127105666;5119.079417773238;5128.398876404494;5140.123850868233;6182.653354531002;6190.936724960254;6205.013672496025;3271.254;3273.425;3282.242;2493.0380000000005;2512.5380000000005;2526.0020000000004;8910.331265703517;8925.141766122279;8949.212588986598
1755162822;2025-08-14T12:13:42.000;1389.3990294886153;1394.4774169466218;1399.652855543113;1537.5055970149253;1538.8516791044776;1542.6305970149253;3109.0605926178696;3115.6509355627595;3125.7460046635956;2835.945983949516;2844.9698196035392;2852.339666643803;3698.6097694567543;3709.4129363142956;3715.0236518448437;5439.158017012029;5451.488009143029;5466.436523400907;1404.5390081000426;1408.8830467528776;1410.0041210743216;5054.1531872128635;5063.901368683002;5072.689127105666;5119.079417773238;5132.9446501532175;5145.384959141982;6182.653354531002;6197.385564387918;6210.603751987282;3265.76;3274.848;3282.242;2504.026;2519.197;2542.4840000000004;8913.571670854271;8930.959987437185;8947.592828726969
