UNIX time;Local time;genericSensor1 min;genericSensor1 avg;genericSensor1 max;genericSensor2 min;genericSensor2 avg;genericSensor2 max
1711546409;2024-03-27T15:33:29.000;146.065;146.065;146.065;145.132;145.132;145.132
1711546410;2024-03-27T15:33:30.000;146.065;146.065;146.065;145.132;145.132;145.132
1711546411;2024-03-27T15:33:31.000;146.065;146.065;146.065;145.132;145.132;145.132
1711546412;2024-03-27T15:33:32.000;146.065;146.065;146.065;145.132;145.132;145.132
1711546413;2024-03-27T15:33:33.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546414;2024-03-27T15:33:34.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546415;2024-03-27T15:33:35.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546416;2024-03-27T15:33:36.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546417;2024-03-27T15:33:37.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546418;2024-03-27T15:33:38.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546419;2024-03-27T15:33:39.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546420;2024-03-27T15:33:40.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546421;2024-03-27T15:33:41.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546422;2024-03-27T15:33:42.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546423;2024-03-27T15:33:43.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546424;2024-03-27T15:33:44.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546425;2024-03-27T15:33:45.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546426;2024-03-27T15:33:46.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546427;2024-03-27T15:33:47.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546428;2024-03-27T15:33:48.000;145.599;145.599;145.599;145.132;145.132;145.132
1711546429;2024-03-27T15:33:49.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546430;2024-03-27T15:33:50.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546431;2024-03-27T15:33:51.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546432;2024-03-27T15:33:52.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546433;2024-03-27T15:33:53.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546434;2024-03-27T15:33:54.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546435;2024-03-27T15:33:55.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546436;2024-03-27T15:33:56.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546437;2024-03-27T15:33:57.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546438;2024-03-27T15:33:58.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546439;2024-03-27T15:33:59.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546440;2024-03-27T15:34:00.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546441;2024-03-27T15:34:01.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546442;2024-03-27T15:34:02.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546443;2024-03-27T15:34:03.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546444;2024-03-27T15:34:04.000;145.599;145.599;145.599;144.665;144.665;144.665
1711546445;2024-03-27T15:34:05.000;145.599;145.599;145.599;144.665;144.665;144.665
